,sno,state,City,Place,Best_time_to_visit,Distance,Place_desc
87,88,Ladakh,Leh Ladakh, 38. Lachung Temple ,July-October," 1,281 km  from city center "," Located in the Nubra Valley, Lachung Temple is a religious pilgrimage found in the Diksit village. Besides housing some of the most colourful and narrative paintings, this temple is also one of the oldest holy sites in the region.  "
88,89,Ladakh,Leh Ladakh, 39. Druk White Lotus School ,July-October," 3,277 km  from city center "," The Druk White Lotus School, also known as Druk Padma Karpo School, is a Buddhist cultural school located in the Shey valley, close to Shey Monastery and Palace. It is popular as the Rancho School from the famed Bollywood movie 3-idiots. It has become a popular tourist attraction, even though it is a not public tourist spot. "
89,90,Ladakh,Leh Ladakh, 40. City Shopping ,July-October," 2,037 km  from city center "," For all those who like to fill their bags with souvenirs and local produce, the markets in Ladakh offers beautiful Tibetan jewellery, motifs, decorated carpets and woolen clothes.  "
90,91,Ladakh,Leh Ladakh, 41. Dah Hanu ,July-October, 102 km  from city center , The villages of Dah and Hanu are amongst the only few villages that are home to the Drogpa tribe. These villages are a must visit for those who are interested in cultural diversity. The Drogpa tribes are known for their distinct ornaments and head gears. 
91,92,Ladakh,Leh Ladakh, 42. Sindhu Darshan Festival ,July-October, 42 out of 71  places to visit in Leh Ladakh ," The Sindhu Darshan festival is celebrated Leh Ladakh region, every year on the full moon day. Celebrated over three days, this is a celebration of River Sindhu, the former Indus Valley Civilisation, with the motive of endorsing the river as an icon of communal harmony in India. The Bollywood movie ""Dil Se"" was shot at the first Sindhu Darshan Festival. "
92,93,Ladakh,Leh Ladakh, 43. Changtang Wildlife Sanctuary ,July-October, 111 km  from city center ," The Changthang Wildlife Sanctuary is located at an altitude of about 4000-9000 feet in the Ladakhi Changthang Plateau. The vast range of exotic flora and fauna attribute the sanctuary to be the second-largest nature reserve. It houses the three popular high altitude lakes - Tso Moriri, Pangong Lake and Tso Kar. "
93,94,Ladakh,Leh Ladakh, 44. Nyoma ,July-October, 145 km  from city center , Nyoma is a quaint village located 150 km from Leh on the banks of the Indus River. The main attraction of this unexplored village is a Buddhist monastery and the long walks in the peaceful lanes. Nyoma is best visited as a stopover when travelling to Chumathang from Leh. An inner line permit is required to visit Nyoma and its monastery. 
94,95,Ladakh,Leh Ladakh, 45. Mountain Biking ,July-October, 24 km  from city center ," Often termed the paradise of mountain bikers, Leh has thousands of tourists coming in every year to experience the thrill of driving on its steep slopes and adrenaline gushing paths. "
95,96,Ladakh,Leh Ladakh," 46. Panamik village, Nubra Valley ",July-October, 71 km  from city center ," Located at a distance of about 140 Km from Leh, Panamik Village is the northernmost part of India. It lies on the bank of Nubra river and is well known for its hot water spring, Pashmina goats and the bactarian camels.  "
96,97,Ladakh,Leh Ladakh," 47. Yarab Tso, Sumur ",July-October, 1 km  from city center ," Popular as the hidden lake, Yarab Tso is located in the Nubra Valley region. It is an uninhabited lake with crystal clear water. Being located in a remote location, the only way to reach it is through an uphill hike. "
97,98,Ladakh,Leh Ladakh," 48. MoonLand, Lamayuru ",July-October, 76 km  from city center ," A peculiar landscape near Lamayuru on Leh-Kargil Road is the MoonLand. It is called so fondly, because the landscapes here are said to be like that of the moon. "
98,99,Ladakh,Leh Ladakh, 49. Darcha to Padum Trek ,July-October, 100 km  from city center ," Located on river Bhaga, Darcha is a small Lahaul region in the Himachal district of Spiti. Whereas Padum is among the two primary capital cities of the Zanskar society. There are plenty of camping sites en route, spread across a variety of nomadic sites travellers would pass by.  "
99,100,Ladakh,Leh Ladakh," 50. Maitreya Buddha, Nubra Valley ",July-October, 43 km  from city center , Near the Diskit monastery in Nubra Valley stands a 32 meter tall statue of Maitreya Buddha facing towards the Shyok river. This statue is built with 8 Kg gold which was donated by the head of Gompa and was sanctified by the Dalai Lama.  
100,101,Ladakh,Leh Ladakh, 51. Shyok Valley ,July-October, 173 km  from city center ," Shyok Village is a hidden gem located in the Nubra Valley region, between Leh and Pangong Lake. Located on the banks of the Shyok River, this tiny hamlet is an offbeat location with only a few houses and families. It is the perfect place to slow down, breathe in nature and get away from the daily routine. "
101,102,Ladakh,Leh Ladakh, 52. Handicrafts Industrial Cooperative Shop ,July-October," 2,037 km  from city center ", This place is good to buy souvenirs for friends and family. Wooden choktse tables carved with images of mythical beasts are available from the Handicrafts Industrial Cooperative Shop . 
102,103,Karnataka,Coorg, 1. Abbey Falls ,September-June, 4 km  from city center ," Abbey Falls, also known as Abbi Falls, is located around 10 kilometres away from the town of Madikeri and is one of the most popular tourist attractions in and around Coorg. The water cascade coming down from the cliff from a height of 70 feet provides a spectacular scene to behold. "
103,104,Karnataka,Coorg, 2. Raja's Seat ,September-June, 1 km  from city center ," Raja's Seat is a garden built on an elevated ground overseeing the valleys that lie to the west, making it a popular viewpoint to watch sunrise and sunset. Dotted with flowering plants and skillfully designed artificial fountains, the garden was a favourite venue to rejuvenate for the Kings of Kodagu, and they loved watching the sunsets sitting here as they spent some memorable time with their Queens.  The garden here is a preferred picnic spot for the locals. "
104,105,Karnataka,Coorg, 3. Coffee Plantations in Coorg ,September-June, 3 out of 34  places to visit in Coorg , A walk through the beautiful plantation estates is one of the most wonderful things to do in Coorg.  The region is known for its coffee plantations that also have a variety of spice plants and vanilla trees. Most of these coffee estates provide a paid guided walking tour and have stores from where you can buy coffee and spices. 
105,106,Karnataka,Coorg, 4. Golden Temple (Namdroling Monastery) ,September-June, 0 km  from city center ," Namdroling Monastery, situated at a distance of 34 km from the Coorg, is the largest teaching centre of the school of Tibetan Buddhism known as Nyingmapa. Popularly known as the 'Golden Temple', the Namdroling Monastery holds some excellent examples of Tibetan architecture and artwork, as seen with the elaborately decorated temple tower and ornate outer walls, intricately adorned with beautiful murals.  "
106,107,Karnataka,Coorg, 5. Trek & Camp at Tadiandamol Peak ,September-June, 21 km  from city center ," Tadiandamol is the highest mountain peak in Coorg, at an elevation of 1748m. Most tourists interested in trekking are drawn to this place as the journey is difficult, but the view from the top, unparalleled. "
107,108,Karnataka,Coorg, 6. Take a Dip under the Iruppu Falls ,September-June, 58 km  from city center ," Iruppu Falls is a  fresh water cascade located in the Brahmagiri Mountain Range, in the Kodagu district of Karnataka. These are also known as the Lakshmana Tirtha Falls, a name derived from the name of the tributary of Cauvery which starts from these falls. A major tourist attraction, it attracts a large number of tourists because of their mesmerizing natural beauty.  "
108,109,Karnataka,Coorg, 7. Talacauvery ,September-June, 30 km  from city center ," Talakaveri is the source of the river Kaveri, located on the Brahmagiri hill near Bhagamandala.  Kodavas erected a tank which is now considered as its origin. It is believed that the river originates as a spring feeding a tank or a Kundike and then flows underground to re-emerge as Kaveri some distance away. The place has a temple dedicated to the Goddess Kaveriamma is located next to the tank and bathing in it on special occasions is considered holy.  "
109,110,Karnataka,Coorg, 8. Take a Walk in Madikeri Fort ,September-June, 0 km  from city center ," Built in the 17th century by Muddu Raja using mud, the structure was rebuilt by Tipu Sultan in granite. "
110,111,Karnataka,Coorg," 9. White River rafting in Barapole River, Coorg ",September-June, 49 km  from city center ," Barapole River is a famous white river rafting destination in Coorg. The white frothy river with speedy waters and rapids, flowing through beautiful landscapes, makes for an ideal river rafting experience. White water rafting is organized in Upper Barapole in Kithu-Kakkatu River which is a strong catchment area for the monsoons, thus providing some of the most challenging stretches of rapids. The Barapole River surges through dense forests and offers rafting participants a breathtaking view of the Brahmagiri Wildlife Sanctuary.  "
111,112,Karnataka,Coorg, 10. Dubare Elephant Camp ,September-June, 19 km  from city center ," Once a training site for elephants of the famous Dasara procession in Mysore, the Dubare Elephant camp offers a unique adventure to visitors by allowing them the experience of living in coexistence with the trained elephants on-site.  "
112,113,Karnataka,Coorg, 11. Omkareshwara Temple ,September-June, 1 km  from city center ," Depicting both Islamic and Gothic architecture, Omkareshwara temple was built in 1820 by Lingarajendra as a dedication to Lord Shiva. "
